section	rule_name	pdf_truth	current_mai_tai	alignment	missing_in_mai_tai	extra_in_mai_tai_not_in_pdf	recommended_direction	user_decision	current_files
Scope	Start of comparison	Comparison starts only after scanner hands a symbol to the 30-second bot.	This review also starts only after scanner handoff into macd_30s.	Same			Keep scanner out of scope.		strategy_engine_app.py
Entry Hard Gates	EMA20 hard gate	Price must be above EMA20 before any entry path can trigger.	use_ema_gate is enabled and blocks entries when price is not above EMA20.	Same			Keep.		entry.py; trading_config.py
Entry Hard Gates	StochK entry cap	StochK must be below 90.	Implemented. The 30s entry hard-gate now blocks entries when StochK is at or above 90 before any path can trigger.	Aligned after change			Implemented to TV rule.	Change to TV Rule	entry.py; trading_config.py
Entry Hard Gates	EMA9 max distance	Price must be less than 8 percent above EMA9.	The 30s bot still has no dedicated EMA9 max-distance gate after the extra entry filters were removed.	Missing in Mai Tai	TV EMA9 less-than-8-percent hard gate is still not implemented.		Still pending separate decision.	Extra filters removed. Decide separately whether to add the TV EMA9 rule.	entry.py; trading_config.py
Entry Hard Gates	Trading hours	Pine allows 7:00 AM to 4:00 PM ET. Server independently checks 7:00 AM to 6:00 PM ET.	Current 30s config allows 7:00 AM to 8:00 PM ET.	Different	PDF session cutoffs are not matched.	Current bot trades later than the PDF truth.	Decide whether to match Pine and server hours exactly.		trading_config.py; entry.py
Entry Hard Gates	Dead zone	Dead zone is OFF by default but documented as 12:01 PM to 3:00 PM ET when enabled.	Default config effectively has no dead zone.	Mostly same if OFF, different if you want explicit TV toggle	No current 30s config matching the documented TV dead-zone window by default.		Decide whether dead zone should stay OFF or match TV settings exactly.		trading_config.py; entry.py
Entry Hard Gates	Cooldown after exit	5 bars after exit before re-entry.	cooldown_bars is 5 for the 30s variant.	Same			Keep.		trading_config.py; entry.py
Entry Hard Gates	Not already in position	Cannot buy if already holding the ticker.	Entry is blocked when the symbol already has an open position.	Same			Keep.		entry.py; position_tracker.py
Entry Hard Gates	Same-bar dedup	No duplicate BUY on the same bar.	Entry engine records the last buy bar and blocks same-bar duplicates.	Same			Keep.		entry.py
Server Hard Gates	Max concurrent positions	Maximum 3 open positions across all tickers.	Current config default is 10 positions.	Different	PDF max position limit is not matched.	Current bot permits more simultaneous positions than PDF truth.	Reduce to 3 if matching TV and server spec.		trading_config.py; position_tracker.py
Server Hard Gates	Daily loss limit	Stop trading below -$500 daily PnL.	Current config uses -$500 and blocks new positions when breached.	Same			Keep.		trading_config.py; position_tracker.py
Server Hard Gates	Server trading hours	Server checks 7:00 AM to 6:00 PM ET.	Current 30s path inherits 7:00 AM to 8:00 PM ET behavior.	Different	Independent 7 to 18 server-hours guard is not matched.	Current runtime allows later activity.	Decide whether to align to 6:00 PM ET.		trading_config.py; strategy_engine_app.py
Server Hard Gates	Consecutive loss pause	2 losses on the same ticker triggers a 30-minute pause for that ticker.	Implemented ticker-level pause logic in the 30s runtime. Mai Tai now pauses a ticker for 30 minutes after 3 consecutive losses on that ticker, based on your worksheet note.	Different by user override		Mai Tai now uses 3 losses then 30-minute pause, while the current TV PDF text says 2 losses then 30-minute pause.	Implemented per worksheet decision. Change only if you want to revert to the PDF threshold of 2.	Need ticker loss-pause rule. Your note says 3 losses and 30-minute pause; current PDF says 2 losses and 30-minute pause.	position_tracker.py; trading_config.py; strategy_engine_app.py
Server Hard Gates	Dedup window	Server ignores duplicate webhook inside a 5000ms window.	Current architecture does not use Pine webhooks for 30s entry logic. There is same-bar dedup plus pending-open and retry guards instead.	Different architecture	Exact 5000ms webhook dedup is not present.	Current runtime uses pending intent state and retry blocking instead.	Likely not needed unless mirroring TV webhook flow literally.		entry.py; strategy_engine_app.py
Entry Paths	P1 MACD cross	MACD crosses above signal after being below signal for at least 3 bars.	Implemented with macd_cross_above and macd_was_below_3bars checks.	Same			Keep.		entry.py
Entry Paths	P2 VWAP breakout	Price crosses above VWAP, MACD above signal, MACD increasing.	Not changed in this round. The 30s bot still uses session-aware VWAP selection before versus after the regular session.	Still under review			Verification item remains open before changing logic.	Test and verify whether current VWAP logic matches TV. If not, we need to adjust it.	entry.py; indicators.py; config.py
Entry Paths	P3 MACD surge core conditions	MACD above signal but not fresh cross, delta >= 0.001, delta accelerating, histogram >= 0.01, price above EMA9.	Core conditions are present.	Mostly same			Keep core path aligned.		entry.py
Entry Paths	P3 extra volume gate	PDF P3 path does not require a separate trigger-level volume >= 5000 rule.	Implemented. The 30s P3 trigger no longer requires a separate trigger-level volume >= 5000 gate before confirmation.	Aligned after change			Implemented to TV rule.	Change to TV Rule	entry.py
Entry Paths	P3 optional previous-bar-green	Optional previous-bar-green check exists but is OFF by default.	No equivalent configurable previous-bar-green option was found in the 30s path.	Missing option	Optional TV toggle is not represented.		Only add if you want the option exposed; default behavior can remain OFF.		entry.py; trading_config.py
Confirmation	Confirmation wait bars	Wait 1 bar after trigger before scoring.	confirm_bars is 1 for the 30s path.	Same			Keep.		trading_config.py; entry.py
Confirmation	Confirmation cancel rules	Cancel if MACD drops below signal or price drops below trigger-bar close during the wait.	Left unchanged in this round. Current confirmation still cancels on MACD below signal or price below trigger price.	Same in practice			Kept as-is per worksheet decision.	Keep as is for now. Revisit after more testing.	entry.py
Confirmation	Quality score items	Six items: histogram growing, stoch rising, price above VWAP, volume above threshold, MACD increasing, price above EMA9 and EMA20.	Current score uses the same six checks.	Same			Keep.		entry.py
Confirmation	Score thresholds	P1 and P2 require 4 of 6. P3 requires 5 of 6.	Current entry logic matches those thresholds.	Same			Keep.		entry.py; trading_config.py
Confirmation	BUY timing	BUY fires only on confirmed bar close.	Open intents are emitted from completed-bar evaluation after confirmation.	Same			Keep.		strategy_engine_app.py; entry.py
Current-only Entry Logic	Extra pre-entry filters	The TV PDF does not include the current Mai Tai precondition, anti-chase, or structure-filter layer as part of the documented 30s source of truth.	Already removed from the 30s entry path. The bot no longer applies precondition, anti-chase, hard VWAP stretch block, or structure-filter logic before entry.	Aligned after change			Already implemented.	Removed from 30s entry path	entry.py; trading_config.py
Current-only Exit Logic	Stoch health suppression filter	PDF exit logic does not include an extra healthy-momentum suppression filter on stoch exits.	Left unchanged in this round. The extra stoch health suppression filter is still enabled for the 30s bot.	Current-only logic		Healthy-momentum suppression of stoch exits.	Kept as-is per worksheet decision.	Keep as is for now. Revisit after more testing.	exit.py; trading_config.py
Scale-outs	Scale timing	Scales fire intrabar with no bar-close wait.	Scale logic is evaluated on completed bars inside _evaluate_completed_bar, not on every trade tick.	Different	Intrabar scale timing is not implemented in the current 30s service path.		Decide whether to move scales to intrabar behavior for TV parity.		strategy_engine_app.py; exit.py
Scale-outs	2 percent partial	At 2 percent profit with no prior scales, sell 50 percent.	Matches the PDF percentages and sequencing.	Same			Keep.		position_tracker.py; trading_config.py
Scale-outs	Fast 4 percent partial	At 4 percent with no prior scales, sell 75 percent.	Matches the PDF percentages and sequencing.	Same			Keep.		position_tracker.py; trading_config.py
Scale-outs	4 percent after 2 percent	At 4 percent after the 2 percent scale, sell 25 percent more of original position.	Matches the PDF percentages and sequencing.	Same			Keep.		position_tracker.py; trading_config.py
Scale-outs	One scale per bar	Only one scale can fire per bar.	Unchanged. Current completed-bar evaluation still effectively allows only one scale decision per bar.	Same effect			Kept as-is per worksheet decision.	Keep as is for now. Revisit after more testing.	strategy_engine_app.py; position_tracker.py
Exit Rules	Tier promotion and no downgrade	Tier is based on peak profit and never drops back.	Position tracker promotes tier from peak profit and does not downgrade it.	Same			Keep.		position_tracker.py
Exit Rules	Exit timing	Tier exits fire intrabar, not only on bar close.	Tier exits are evaluated on completed bars. Only hard-stop checks run intrabar.	Different	Intrabar tier-exit timing is not implemented.		Decide whether to move non-hard-stop exits intrabar for TV parity.		strategy_engine_app.py; exit.py
Exit Rules	Tier 1 exit conditions	StochK below 20 and falling, or MACD cross below, or floor breach.	Current logic matches the listed Tier 1 rules.	Same			Keep.		exit.py
Exit Rules	Tier 2 exit conditions	StochK below 20 and falling plus price below EMA9, or MACD cross below, or floor breach.	Current logic matches the listed Tier 2 rules.	Same			Keep.		exit.py
Exit Rules	Tier 3 exit conditions	MACD cross below only, or floor breach. Ignore stoch.	Current logic matches the listed Tier 3 rules.	Same			Keep.		exit.py
Hard Stop and Floors	Hard stop basis	Hard stop uses entry minus STOP_LOSS_CENTS and server floor monitor uses that same cents-based baseline.	Current intrabar hard stop uses stop_loss_pct default 1.5 percent, not stop_loss_cents.	Different	Cents-based hard stop behavior is not what the current 30s service uses.	Percent-based hard-stop rule.	Decide whether 30s should switch to cents-based stops for TV parity.		trading_config.py; exit.py
Hard Stop and Floors	Pine profit floor ladder	No floor under 1 percent, then 0.0, 0.5, 1.5, 2.5, then peak minus 1.5.	Current position floor ladder matches this milestone behavior.	Same			Keep.		position_tracker.py
Server Protection	5-second floor monitor	Server polls open positions every 5 seconds to track peak, enforce hard stop, enforce floor breach, and ratchet stop.	No equivalent 30s-specific 5-second floor monitor was found in the reviewed service path.	Missing or different architecture	Server-side 5-second floor-monitor loop is not visible in the current 30s bot path.		Decide whether to implement an explicit server-side protection loop or rely on current OMS and reconciliation design.		strategy_engine_app.py; oms/service.py; control_plane.py
Server Protection	Simplified server floor logic	Server uses no floor under 1 percent, plus 0.5 percent from 1 to 2 percent, then peak minus 1.0 percent.	I did not find this separate server-side floor logic implemented in the 30s runtime path.	Missing in Mai Tai	Separate server-side simplified floor logic is not present in the reviewed path.		Decide whether this protection layer should exist separately from Pine-style position floors.		strategy_engine_app.py; position_tracker.py
Server Protection	Heartbeat timeout exit	Heartbeat every bar close while in position. If silence exceeds 60 seconds, server sells.	Current service heartbeats report service health, but no position-level heartbeat timeout that force-closes a stale 30s trade was found.	Missing or different architecture	Position-level heartbeat timeout close is not in the reviewed 30s path.	Current heartbeats are service-health oriented rather than position-repaint protection.	Decide whether TV heartbeat protection should be implemented for 30s positions.		strategy_engine_app.py; control_plane.py
Server Protection	Orphan detection	Every 5 minutes, compare broker positions versus tracker and auto-close orphans after grace period.	Mai Tai has reconciliation surfaces, but not this exact 30s orphan-close loop in the reviewed bot path.	Different architecture	Exact 5-minute orphan auto-close loop is not present in the reviewed 30s path.	Current platform uses broader reconciliation infrastructure.	Decide whether bot-local orphan handling is needed or if the reconciler remains the safety layer.		reconciler.py; control_plane.py; strategy_engine_app.py
Order Execution	BUY regular-hours execution	Trigger order with BUY MARKET plus child STOP in one call.	Current strategy emits an open intent; routing metadata does not implement the TV and Schwab trigger-child-stop chain in this service layer.	Different architecture	Exact trigger-order flow is not represented in the current strategy service.	Current architecture separates strategy intents from OMS execution.	Decide whether parity is logical or literal here; likely handled in OMS rather than strategy.		strategy_engine_app.py; oms/service.py
Order Execution	BUY extended-hours execution	Buy limit first, wait 3 seconds, then place stop-limit because trigger is unsupported.	Current extended-hours routing adds limit, day, and extended-hours metadata, but no 3-second follow-up stop-limit workflow was found in the strategy path.	Different	Exact delayed stop-limit sequence is not represented here.		Review in OMS if exact broker-order parity matters.		strategy_engine_app.py; oms/service.py
Order Execution	Scale execution flow	Cancel old stop, cancel ticker orders, scale sell, then place child stop for remaining shares.	Scale intents are emitted, but the full TV and Schwab stop-replacement flow is not implemented in the strategy service itself.	Different architecture	Exact scale stop-management sequence is not in this reviewed path.		Review separately in OMS and execution if you want exact execution parity.		strategy_engine_app.py; oms/service.py
Order Execution	Close execution flow	Cancel stop, cancel all ticker orders, wait briefly, sell market, then close tracker state.	Close intents are emitted and tracker state closes on fills, but the exact stop-cancel sequencing lives outside the 30s strategy path.	Different architecture	Exact close-order choreography is not in the strategy layer.		Review in OMS if you want literal parity.		strategy_engine_app.py; oms/service.py
Order Execution	Stop rejected fallback	If child stop is rejected, sell market immediately or let floor monitor catch within 5 seconds.	Implemented in OMS. If an open or scale request gets a stop-related rejection and the broker still shows remaining shares, OMS now submits a market close fallback for the live broker quantity.	Implemented in current architecture			Implemented as a service-level fallback.	Need to implement	oms/service.py
